"course_code","course_name","description","credits","prerequisites","department","instructors"
"MAP4413","Fourier Analysis","Introduces linear systems and transforms; Laplace, Fourier and Z transforms and their mutual relationship; convolutions. Operational calculus; computational methods including the fast Fourier transform; second-order stationary processes and their autocorrelation functions; and problems of interpolation, extrapolation, filtering and smoothing of second-order stationary processes.","3","Prereq: (MAC 2313 or MAC 3474) and MAP 2302 and (MAS 3114 or MAS 4105) with minimum grades of C.","Mathematics",""
"MAP5304","Intermediate Differential Equations for Engineers and Physical Scientists","Intermediate Differential Equations for Engineers and Physical Scientists","3","","Mathematics","Thialita Nascimento, Paul Robinson"
"MAP5345","Introduction to Partial Differential Equations","Introduction to Partial Differential Equations","3","","Mathematics","Sergei Shabanov"
"MAP6208","Numerical Optimization","Unconstrained and constrained optimization, linear and nonlinear programming, gradient, multiplier, and quasi-Newton methods. Penalty, multiplier, and projection methods for constrained problems.","3","Prereq: MAD 6406 and MAD 6407 or consent of instructor.","Mathematics","William Hager"
"MAP6327","Applied Differential Equations I","Theory and methods for solving linear and nonlinear systems of differential equations and partial differential equations. Applications and computer techniques included.","3","Prereq: MAA 5229.","Mathematics","Tracy Stepien"
"MAP6357","Partial Differential Equations II","Partial Differential Equations II","3","Prereq: MAP 6356.","Mathematics","Lei Zhang"
"MAP6473","Probability and Potential Theory II","Probability and Potential Theory II","3","Prereq: MAP 6472","Mathematics","Arnaud Marsiglietti"
"MAP6488","Biomathematics Seminar II","Continuation of MAP 6487.","3","Prereq: MAP 6487.","Mathematics","Sergei Pilyugin"
"MAP6506","Mathematical Methods of Physics and Engineering II","Mathematical Methods of Physics and Engineering II","3","Prereq: MAP 6505.","Mathematics","Sergei Shabanov"
"MAP6941","Internship in Applied Mathematics","Mathematical research on projects sponsored by a university laboratory or an off-campus industrial internship program.","0","Prereq: consent of supervisory committee chair.","Mathematics",""
"MAS3114","Computational Linear Algebra","Linear equations, matrices and determinants. Vector spaces and linear transformations. Inner products and eigenvalues. Emphasizes computational aspects of linear algebra.","3","Prereq: MAC 2312, MAC 2512 or MAC 3473 with a minimum grade of C and experience with a scientific programming language.","Mathematics","Shu Huang, Kushagri Sharma, Dmitrii Smorchkov, Iris Shi, Amit Bhat, Kyle Adams, Michelle Baker"
"MAS4105","Linear Algebra 1","Linear equations, matrices, vector spaces, linear transformations, determinants, eigenvalues and inner-product spaces. Includes both theory and computational skills. Develops the ability to reason through, and coherently write, proofs of theorems. For math majors, this course serves as a transition from a study of techniques into more conceptual math; for engineering and science majors, it serves also as a coherent foundation in linear algebra.","4","Prereq: (MAC 2313 or MAC 3474) and (MAS 3300 or MHF 3202) with minimum grades of C.","Mathematics","Chunmei Wang, Xingjian Xu, Willard Keeran, Jacob Kowalczyk, Henry Adams, Darren Schmidt, Peter Sin, Nan Jiang"
"MAS4115","Linear Algebra for Data Science","A second course in linear algebra, focusing on topics that are the most essential for data science. Introduces theory and numerical methods required for large data-sets and machine learning. Topics include LU, QR, and singular-value decompositions; conditioning and stability; the DFT and filters; deep learning; fully connected and convolutional nets.","3","Prereq: (MAS 3114 or MAS 4105) and MAC 2313.","Mathematics","Youngmin Park, Hubert Wagner"
"MAS4203","Introduction to Number Theory","Introduces elementary number theory and its applications to computer science and cryptology. Divisibility, primes, Euclidean Algorithm, congruences, Chinese Remainder Theorem, Euler-Fermat Theorem and primitive roots. Selected applications to decimal fractions, continued fractions, computer file storage and hashing functions, and public-key cryptography.","3","Prereq: MAC 2312 and (MAC 2512 or MAC 3473) with a minimum grade of C; MAS 3300 recommended.","Mathematics","Alexander Berkovich"
"MAS4301","Abstract Algebra 1","Sets and mappings, groups and subgroups, homomorphisms and isomorphisms, permutations, rings and domains, arithmetic properties of domains, and fields. Requires facility in writing proofs.","3","Prereq: (MAS 3300 or MHF 3202 with a minimum grade of B) or MAS 4105 with a minimum grade of C.","Mathematics","Alexander Berkovich, Zachary Hamaker, Alexandre Turull"
"MAS4302","Abstract Algebra 2","A second course in Abstract Algebra, focusing on Galois Theory, the algebraic theory of fields and polynomial equations. Introduces concepts of abstract algebra used in settling famous historical problems including the problems of angle trisection and duplication of cubes by ruler and compass constructions, and the insolubility of polynomial equations of the fifth degree by radicals.","3","Prereq: MAS 4301.","Mathematics","Kevin Keating"
"MAS6332","Algebra II","Algebra II","3","Prereq: MAS 6331.","Mathematics","Kevin Keating, Libin Rong"
"MAS7216","Theory of Numbers II","Theory of Numbers II","3","Prereq: MAS 7215.","Mathematics","Krishnaswami Alladi"
"MAS7397","Topics in Algebra II","Topics in Algebra II","3","","Mathematics","Alexandre Turull"
"MAT4905","Individual Work","Special topics not obtainable in regular course offerings.","0","Prereq: MAC 2313 or MAC 3474 with a minimum grade of C and undergraduate coordinator permission.","Mathematics","DANA BARTOSOVA"
"MAT4911","Undergraduate Research in Mathematics","Provides firsthand, supervised research in mathematics. Projects may involve inquiry, design, investigation, scholarship, discovery or application in mathematics.","0","","Mathematics","Henry Adams, Jason Harrington, Youngmin Park, Sara Pollock, Chunmei Wang, Sergei Shabanov, Arnaud Marsiglietti, Tracy Stepien, Jeremy Booher"
"MAT4930","Special Topics in Mathematics: INTRO ALGEBRA 2","Qualified undergraduates take part in seminars or classes on special topics.","0","Prereq: undergraduate coordinator permission.","Mathematics",""
"MAT6905","Individual Work","Individual Work","3","","Mathematics","Miklos Bona"
"MAT6910","Supervised Research","Supervised Research","0","","Mathematics","Miklos Bona, Luca Di Cerbo, DANA BARTOSOVA, Youngmin Park"
"MAT6932","Special Topics in Mathematics: SEM IN TOPOLOGY","Special Topics in Mathematics","3","Prereq: consent of graduate adviser, who should be consulted well in advance of registration.","Mathematics","Alexander Dranishnikov"
"MAT6971","Research for Master's Thesis","Research for Master's Thesis","0","","Mathematics",""
"MAT7979","Advanced Research","Research for doctoral students before admission to candidacy. Designed for students with a master's degree in the field of study or for students who have been accepted for a doctoral program. Not appropriate for students who have been admitted to candidacy.","0","","Mathematics","Hubert Wagner, Cheng Yu, Alexandre Turull, Robin Tucker-Drob, Helen Moore, Michael Jury, Alexander Dranishnikov, Miklos Bona, Youngmin Park, Henry Adams, Kevin Knudson, Eric Evert, Chunmei Wang, Andrew Vince"
"MAT7980","Research for Doctoral Dissertation","Research for Doctoral Dissertation","0","","Mathematics","Sara Pollock, Jeremy Booher, Peter Bubenik, Alexander Berkovich, Henry Adams, Krishnaswami Alladi, Michael Jury, Jindrich Zapletal, Kevin Keating, Calistus Ngonghala, Luca Di Cerbo, Alexander Dranishnikov, Yeor Hafuta, Scott Mccullough, Sergei Pilyugin, William Hager, Zachary Hamaker, Lei Zhang, Frank Garvan, Hubert Wagner, Miklos Bona"
"MGF1130","Mathematical Thinking","In this course, students will utilize multiple means of problem solving through student-centered mathematical exploration. The course is designed to teach students to think more effectively and increase their problem-solving ability through practical application and divergent thinking. This course is appropriate for students in a wide range of disciplines/programs.","3","","Mathematics","Ross Ptacek, Himanshu Yadav"
"MHF3202","Reasoning and Proof in Mathematics","Fundamentals of logic, set theory, and proof techniques. Topics include propositional and predicate logic, set operations, functions, relations, mathematical induction, and proof strategies. Emphasis on analyzing, constructing, and writing rigorous mathematical arguments with clarity and precision.","3","Prereq: MAC 2312 with a minimum grade of C.","Mathematics","Jesse Kim, Luca Di Cerbo, Ross Ptacek, Andrew Vince, Libin Rong, Vincent Vatter"
"MHF4102","Elements of Set Theory","Basic axioms and concepts of set theory. Students present proofs. Credit will be given for, at most, MHF 4102 or MHF 5107.","3","Prereq: MAS 4105 with a minimum grade of C.","Mathematics","Robin Tucker-Drob"
"MHF5107","Introduction to Set Theory","Basic axioms and concepts of set theory, axiom of choice, Zorn's lemma, Schroder-Bernstein theorem, cardinal numbers, ordinal numbers, and the continuum hypothesis.","3","","Mathematics","Robin Tucker-Drob"
"MHF6307","Mathematical Logic 2","The three sub-areas Model theory, computability theory, and set theory will be covered. Specific topics may include axiomatization of set theory, transfinite recursion and cardinal arithmetic, Goedel's constructible universe, Cohen's method of forcing, Turing degrees, and Post's problem.","3","Prereq: MHF 6306.","Mathematics","Jindrich Zapletal"
"MTG3212","Geometry","Axiomatic treatment of topics in Euclidean, non-Euclidean, projective geometry and (time permitting) fractal geometry. Particularly useful for prospective secondary-school mathematics teachers.","3","Prereq: MAC 2312 and (MAC 2512 or MAC 3473 with a minimum grade of C).","Mathematics","Konstantina Christodoulopoulou"
"MTG4303","Elements of Topology 2","Continues the basic concepts of general topology. Credit will be given for, at most, MTG 4303 or MTG 5317.","3","Prereq: MTG 4302 with a minimum grade of C.","Mathematics","Alexander Dranishnikov"
"MTG5317","Introduction to Topology II","Introduction to Topology II","3","Prereq: MTG 5316.","Mathematics","Alexander Dranishnikov"
"MTG6257","Differential Geometry II","Differential Geometry II","3","Prereq: MTG 6256.","Mathematics","David Groisser"
"MTG6347","Topology II","Topology II","3","Prereq: MTG 6346.","Mathematics","Peter Bubenik"
"MTG7397","Advanced Topics in Topology II","Discussion of advanced topics in topology and its applications.","3","Prereq: MTG 7396.","Mathematics","Henry Adams"
"STA2023","Introduction to Statistics 1","In this course, students will utilize descriptive and inferential statistical methods in contextual situations, using technology as appropriate. The course is designed to increase problem-solving abilities and data interpretation through practical applications of statistical concepts. This course is appropriate for students in a wide range of disciplines and programs.","3","","Statistics","Stephanie Stine"
"STA2090","The Data Analytics Revolution In Sports","Explores the data-driven decision process within the field of athletics and game play using data analytics and visualization techniques. Compares the processes used in sports with those used in business and everyday life and illustrates examples of how data can be used to understand human behavior.","3","","Statistics","Elizabeth Johnson"
"STA3024","Introduction to Statistics 2","An introduction to the analysis of variance. Nonparametric statistical methods and applications. Analysis of count data: chi-square and contingency tables. Simple and multiple linear regression methods with applications.","3","Prereq: STA 2023 or the equivalent.","Statistics","Maria Ripol"
"STA3032","Engineering Statistics","Basic concepts in probability, statistics, engineering applications. Use of computational methods, logic, and reasoning. Formulation of mathematical models, application of statistical techniques, and solution of real-world problems. Topics include probability, random variables, estimation, hypothesis testing, correlation, regression, and analysis of variance.","3","Prereq: MAC 2311.","Statistics","Thomas Ippolito, Karina Gelis-Cadena"
"STA3100","Programming With Data in R","Introduction to statistical computing and programming with data. Topics include basic programming in R; data types and data structures in R; importing and cleaning data; specifying statistical models in R; statistical graphics; statistical simulation using pseudo-random numbers; reproducible research and the documentation of statistical analyses.","3","Prereq: STA 2023 with a minimum grade of B or (STA 3024 or STA 3032 with a minimum grade of B-) or (AP statistics score of 4 or 5).","Statistics","Benjamin Roycraft, Thomas Ippolito"
"STA3180","Statistical Modelling","Overview of modern statistical modeling. Topics include linear regression, binary regression and classification, cross-validation, nonlinear regression and smoothing, tree-based methods, the bootstrap, and causal inference. Approaches will be illustrated in R.","3","Prereq: STA 3100.","Statistics","Lawrence Winner"
"STA4210","Regression Analysis","Simple linear regression and multiple linear regression models. Inference about model parameters and predictions, diagnostic, and remedial measures about the model, independent variable selection, multicollinearity, autocorrelation, and nonlinear regression.","3","Prereq: STA 3100 and (STA 3024 or STA 3032 or STA 4321 or MAS 3114 or MAS 4105).","Statistics","David Lindberg, Lingxiao Zhou"
"STA4211","Design of Experiments","The basic principles of experimental design: analysis of variance for experiments with a single factor; randomized blocks and Latin square designs: multiple comparison of treatment means; factorial and nested designs; analysis of covariance; response surface methodology.","3","Prereq: STA 4210.","Statistics","Lawrence Winner"
"STA4241","Statistical Learning in R","Overview of the field of statistical learning. Topics include linear regression, classification, resampling methods, shrinkage approaches, tree-based methods, support vector machines, and clustering. Approaches will be illustrated in R.","3","Prereq: STA 4322 and STA 4210 and (MAS 3114 or 4105).","Statistics","Joseph Antonelli"
"STA4273","Statistical Computing in R","Overview of computational statistics and how to implement the methods in R. Topics include Monte Carlo methods in inference, bootstrap, permutation tests, and Markov chain Monte Carlo (MCMC) methods.","3","Prereq: STA 4210 and STA 4322 and (MAS 3114 or MAS 4105).","Statistics","Leo Duan"
"STA4321","Introduction to Probability","Introduces the theory of probability, counting rules, conditional probability, independence, additive and multiplicative laws, Bayes Rule. Discrete and continuous random variables, their distributions, moments and moment generating functions. Multivariate probability distributions, independence, covariance. Distributions of functions of random variables, sampling distributions, central limit theorem.","3","Prereq: MAC 2313 or MAC 3474 with a minimum grade of C.","Statistics","Yeison Quiceno Duran, James Hobert, John Streese"
"STA4322","Introduction to Statistics Theory","Sampling distributions, central limit theorem, estimation, properties of point estimators, confidence intervals, hypothesis testing, common large sample tests, normal theory small sample tests, uniformly most powerful and likelihood ratio tests, linear models and least squares, correlation. Introduction to analysis of variance.","3","Prereq: STA 4321 or the equivalent.","Statistics","Matias Shedden, Demetris Athienitis"
"STA4504","Categorical Data Analysis","Description and inference using proportions and odds ratios, multi-way contingency tables, logistic regression and other generalized linear models, log-linear models applications.","3","Prereq: STA 3100 and (STA 3024 or STA 3032 or STA 4210 or STA 4322).","Statistics","Leo Duan, Patrick Mellady"
"STA4702","Multivariate Statistical Methods","Review of matrix theory, univariate normal, t, chi-squared and F distributions and multivariate normal distribution. Inference about multivariate means including Hotelling's T2, multivariate analysis of variance, multivariate regression and multivariate repeated measures. Inference about covariance structure including principal components, factor analysis and canonical correlation. Multivariate classification techniques including discriminant and cluster analyses. Additional topics at the discretion of the instructor, time permitting.","3","Prereq: (STA 3024 or STA 4210 or STA 4322 or STA 6127 or STA 6167) and (MAS 3114 or MAS 4105 or the equivalent).","Statistics","Karl Ekvall"
"STA4853","Introduction to Time Series and Forecasting","Stationarity, autocorrelation, ARMA models; frequency domain methods and the spectral density; forecasting methods; and computationally-oriented application to case studies.","3","Prereq: STA 4210 and STA 4321.","Statistics","Sayar Karmakar"
"STA4905","Individual Work","Special topics designed to meet the needs and interests of individual students.","0","Prereq: department permission.","Statistics",""
"STA4911","Undergraduate Research in Statistics: RESEARCH STATISTICS","Provides firsthand, supervised research. Projects may involve inquiry, design, investigation, scholarship, discovery, or application.","0","","Statistics",""
"STA4940","Internship","Supervised activity associated with planning and/or analyzing data from a research project. Supervision by a faculty member or delegated authority and a post-internship written report are required.","0","Prereq: STA 4211 and undergraduate coordinator permission.","Statistics",""
"STA4950","Capstone in Statistics and Data Science","A comprehensive team-based learning experience where students synthesize what they have learned in previous core courses and apply that knowledge to new, complex situations working in partnership with professional data scientists and statisticians to analyze a real-world problem. Skills such as collaboration, data ethics and communication are heavily emphasized.","3","Prereq: STA 4210 and 3 additional credits in STA 4XXX and (BS or BA STA or DAT major or STA minor or ACS minor)","Statistics","Elizabeth Johnson"
"STA5325","Fundamentals of Probability","Topics in probability and statistics, particularly discrete and continuous random variables, sampling distributions, estimation, and hypothesis testing. Applications to engineering and natural science.","3","Prereq: grade of C or better in MAC 2313 and STA 3032 or equivalent.","Statistics","James Hobert"
"STA5328","Fundamentals of Statistical Theory","Direct continuation of STA 4321/STA 5325. Basic material for distribution theory, sampling distributions, properties of estimators, hypothesis testing, linear regression analysis, and analysis of variance. A good knowledge of calculus is helpful.","3","Prereq: STA 4321 or equivalent.","Statistics","Demetris Athienitis"
"STA5503","Categorical Data Methods","Description and inference using proportions and odds ratios, multi-way contingency tables, logistic regression and other generalized linear models, and loglinear models applications.","3","Prereq: STA 3024, 3032, 4210, 4322, STA 6127, or STA 6167. Intended for graduate students not majoring in statistics.","Statistics","Leo Duan"
"STA5701","Applied Multivariate Methods","Review of matrix theory, univariate normal, t, chi-squared and F distributions, and multivariate normal distributions. Inference about multivariate means, Hotelling's T2  multivariate analysis of variance, multivariate regression, and multivariate repeated measures. Inference about covariance structure, principal components, factor analysis, and canonical correlation. Multivariate classification techniques, discriminant and cluster analysis. Additional topics at the discretion of the instructor, time permitting.","3","Prereq: STA 3024, STA 6127, STA 6167, or 4211. Intended for graduate students not majoring in statistics.","Statistics","Karl Ekvall"
"STA5856","Applied Time Series Methods","Stationarity, autocorrelation, ARMA models, non-stationary processes, ARIMA models, regression with ARMA errors, model-based forecasting, forecasting algorithms.","3","Coreq: STA 4322 or STA 5328.","Statistics","Sayar Karmakar"
"STA6167","Statistical Methods in Research II","Analysis of covariance and general linear model. Factorial, nested, split-plot, and incomplete block designs. Analysis of count data.","3","Prereq: STA 6166.","Statistics","David Holmes"
"STA6246","Theory of Linear Models","Theory of Linear Models","3","Prereq: STA 6208, STA 6327, STA 6329.","Statistics","John Doss"
"STA6276","Statistical Computing II: Monte Carlo Methods","Second of a two course sequence on statistical computing. Covers Monte Carlo (MC) methods, Monte Carlo methods based on Markov chains (MCMC), and variational inference. Describes implementations of these methods and classes of problems in Bayesian inference they can address. Also, discussion of convergence issues. R is the primary programming language.","3","Prereq: STA 6326; Coreq: STA 6327.","Statistics","Kshitij Khare"
"STA6327","Introduction to Theoretical Statistics II","Estimation and hypothesis testing. Sufficiency, information, estimation, maximum likelihood, confidence intervals, uniformly most powerful tests, likelihood ratio tests, sequential testing, univariate normal inference, decision theory, analysis of categorical data.","3","Prereq: STA 6326.","Statistics","Malay Ghosh"
"STA6905","Individual Work: Advanced Regression","Special topics designed to meet the needs and interests of individual students.","0","Prereq: departmental approval.","Statistics",""
"STA6910","Supervised Research","Supervised Research","0","","Statistics",""
"STA6938","Seminar","Special topics of an advanced nature suitable for seminar treatment but not given in regular courses.","1","Prereq: departmental approval.","Statistics",""
"STA7233","Advanced Regression","Introduces a variety of advanced methods used in modern regression analyses, including semiparametric regression, regularization and shrinkage estimators, and advanced statistical machine learning methods.","3","Prereq: STA 7249.","Statistics","Joseph Antonelli"
"STA7467","Probability Theory II","Summability of independent random variables. Laws of large numbers. Convergence in distribution. Characteristic functions. Uniqueness and continuity theorems. The Lindeberg-Feller central limit theorem. Degenerate convergence criterion.","3","Prereq: STA 7466.","Statistics","Sohom Bhattacharya"
"STA7934","Special Topics in Statistics: High Dimensional Time-Series","Possible Topics: Smoothing Methods, Analysis of Longitudinal Data, Data Mining and Statistical Learning, Mixed Models, Theory and Methods, Resampling Methods, Functional Data Analysis.","0","Prereq: Permission of Graduate Coordinator.","Statistics","Sayar Karmakar"
"STA7979","Advanced Research","Research for doctoral students before admission to candidacy. Designed for students with a master's degree in the field of study or for students who have been accepted for a doctoral program. Not appropriate for students who have been admitted to candidacy.","0","","Statistics",""
"STA7980","Research for Doctoral Dissertation","Research for Doctoral Dissertation","0","","Statistics",""
"PHY2004","Applied Physics 1","Emphasizes the practical applications of basic physics to a wide range of professions including architecture, agricultural sciences, building construction, and forest resources. Mechanics of motion, forces, energy, momentum, wave motion, and heat. (P) This course affords students the ability to critically examine and evaluate the principles of the scientific method, model construction, and use the scientific method to explain natural experiences and phenomena.","3","Prereq: algebra and trigonometry.","Physics","Andrew Rinzler"
"PHY2004L","Laboratory for Physics 2004","Laboratory experience illustrating the practical applications of basic physics, including the mechanics of motion, forces, energy, momentum, wave motion and heat. This course affords students the ability to critically examine and evaluate the principles of the scientific method, model construction, and use the scientific method to explain natural experiences and phenomena.","1","Coreq: PHY 2004.","Physics","Charles Parks, Nivarthana Yapa Mudiyanselage, Charles Taylor, Austin Lam"
"PHY2005","Applied Physics 2","Continuation of the sequence. Electric and magnetic fields. Geometrical, wave and applied optics. Modern and nuclear physics. This course affords students the ability to critically examine and evaluate the principles of the scientific method, model construction, and use the scientific method to explain natural experiences and phenomena.","3","Prereq: PHY 2004 or equivalent.","Physics","Thomas Angelini"
