"course_code","course_name","description","credits","prerequisites","department","instructors"
"PHY4604","Introductory Quantum Mechanics 1","First of the PHY 4604/4605 sequence. Basic concepts of quantum mechanics with applications in atomic and nuclear physics and condensed matter.","3","Prereq: (PHY 3101 or PHY 3063) and MAP 2302 or equivalent.","Physics","Khandker Muttalib"
"PHY4605","Introductory Quantum Mechanics 2","Second of the PHY 4604/4605 quantum mechanics sequence with applications in atomic and nuclear physics and condensed matter.","3","Prereq: PHY 4604.","Physics","Christopher Stanton"
"PHY4802L","Laboratory Physics 1","Electronics in the laboratory.","3","Coreq: PHY 3323 or the equivalent.","Physics","DOMINIQUE LAROCHE, Yuta Takahashi"
"PHY4803L","Laboratory Physics 2","Current laboratory techniques.","3","Prereq: PHY 4604 and PHY 4802L.","Physics","Heather Ray, Neil Sullivan, Xiao-Xiao Zhang"
"PHY4905","Individual Work","Qualified undergraduate students study selected topics in physics.","0","Prereq: 12 credits of physics and instructor permission.","Physics",""
"PHY4911","Undergraduate Research in Physics: UG RES PHYSICS","Course provides firsthand, supervised research in Physics. Projects may involve inquiry, design, investigation, scholarship, discovery or application in Physics.","0","","Physics","Siyao Xu, Amlan Biswas, Chunjing Jia, Jiabin Yu, DOMINIQUE LAROCHE, Edwin Eduardo Pedrozo Penafiel, BingKan Xue, James Hamlin, Yuta Takahashi, Gabriel Birzu, Yasumasa Takano, Philip Chang, Jeffrey Andrews"
"PHY5905","Individual Work","Assigned reading and problems program, special topics, or development of special experimental or theoretical problems. Work selected according to student's needs and interests.","0","Prereq: consent of instructor.","Physics","Jiabin Yu"
"PHY6347","Electromagnetic Theory II","Continuation of PHY 6346.","3","Prereq: PHY 6346.","Physics","Dmitrii Maslov"
"PHY6536","Statistical Mechanics I","Equilibrium ensembles for classical and quantum systems, fluctuations, applications to normal fluids, phase transitions and critical phenomena, plasmas.","3","Prereq: PHY 6645 and PHY 6246.","Physics","YUXUAN WANG"
"PHY6646","Quantum Mechanics II","Time dependent perturbation theory, scattering theory, identical particles and second quantization, Dirac equation.","3","Prereq: PHY 6645.","Physics","Wei Xue"
"PHY6905","Individual Work","Treatment of an experimental or theoretical problem or topic assigned on the basis of student's needs and interests.","0","","Physics","Yoonseok Lee, James Hamlin, Edwin Eduardo Pedrozo Penafiel, Jiabin Yu"
"PHY6910","Supervised Research","Supervised Research","0","","Physics","Imre Bartos"
"PHY6920","Departmental Colloquium","Summary presentation of contemporary topics by visiting and local researchers.","1","","Physics",""
"PHY7669","Quantum Field Theory II","Path integral quantization; perturbation theory; renormalization; quantization of gauge fields; applications.","3","Prereq: PHY 6648.","Physics","Jeff Dror"
"PHY7979","Advanced Research","Research for doctoral students before admission to candidacy. Designed for students with a master's degree in the field of study or for students who have been accepted for a doctoral program. Not appropriate for students who have been admitted to candidacy.","0","","Physics","Philip Feng, Jiabin Yu, Yuta Takahashi, Gabriel Birzu, Tarek Saab, BingKan Xue, Siyao Xu, Philip Chang, Laura Blecha, Jacobo Konigsberg, Sergey Klimenko, Richard Hennig, Chunjing Jia, Ivan Furic, Edwin Eduardo Pedrozo Penafiel, Xiao-Xiao Zhang, David Tanner, Rachel Houtz, PAUL FULDA, James Hamlin, Yoonseok Lee, Jeff Dror, YUXUAN WANG"
"PHY7980","Research for Doctoral Dissertation","Research for Doctoral Dissertation","0","","Physics","Jeff Dror, Guido Mueller, Heather Ray, Wei Xue, Richard Hennig, Khandker Muttalib, Imre Bartos, PAUL FULDA, Jeffrey Andrews, Rasul Gazizulin, Chunjing Jia, Xiao-Xiao Zhang, Dmitrii Maslov, Philip Chang, BingKan Xue, Jacobo Konigsberg, Laura Blecha, Sumita Bhaduri-McIntosh, Peter Hirschfeld, DOMINIQUE LAROCHE, James Hamlin, Richard Woodard, Pierre Sikivie, Christopher Stanton, David Tanner, Tarek Saab, Rachel Houtz, Yoonseok Lee, Amlan Biswas, Desika Narayanan"
"PHZ4404","Introduction to Solid State Physics","Atomic binding, crystalline structure, diffraction and reciprocal lattice, lattice vibration, phonons, electrons in solids, energy bands, semiconductors.","3","Prereq: PHY 4604; Coreq: PHY 4523.","Physics","Chunjing Jia"
"PHZ4710","Introduction to Biological Physics","The physics of biological systems, including physics of proteins and nucleic acids, biomolecular motors and diffusional signaling and sensing. Important experimental tools such as magnetic resonance and synchrotron x-ray crystallography are also discussed. (WR)","3","Credits: 3; Prereq: one year of introductory physics (PHY 2053/2054, PHY 2048/2049, or the equivalent) and one year of calculus (MAC 2311/2312, or the equivalent).","Physics","Gabriel Birzu"
"PHZ7427","Solid State II","Physics of collective phenomena in condensed matter systems: electron-electron and electron-phonon interactions, magnetism, superconductivity, and quantum transport.","3","Prereq: PHZ 6426.","Physics","Peter Hirschfeld"
